ORG_NAME,ORG_ID,CONTROLLERS,NO_OF_VRFS
AADEC26,202,"""NV-WC01-N4-MUM"", ""NV-WC02-N2-BLR"", ""NV-WC01-N2-BLR"", ""NV-WC02-N4-MUM""",10
AUTO_ORG_3,211,"""NV-WC01-N4-MUM"", ""NV-WC02-N2-BLR"", ""NV-WC01-N2-BLR"", ""NV-WC02-N4-MUM""",10
