Device_name,Config_Result
IPC04248-SIN-PS-HD-LIB,element not found error.No modifications to commit.
IPC060302230-FRA-PS-HWD-P,Site type is empty
IPC04489-BRU-PS-HS-LIB,element not found error.Commit success.
IPC060302230-FRA-PS-HWD-S,Site type is empty
IPC04358-FRA-PS-D-MOP-STO,element not found error.Commit success.
IPC04489-MAD-PS-D-MPLS,element not found error.Commit success.
IPC04932-FRA-PS-M,Single MPLS site. No changes commited
IPC04694-FRA-PS-ID-LIB,element not found error.Commit success.
IPC04603-BRU-PS-M-Fiber,Single MPLS site. No changes commited
IPC04968-FRA-PS-ID-LTE,element not found error.Commit success.
IPC04358-XBT-PS-M-DUB000152,Single MPLS site. No changes commited
IPC04624-MAD-PS-D-MPLS,element not found error.Commit success.
IPC04305W-FRA-PS-HD,element not found error.No modifications to commit.
IPC04248-TYO-PS-ID-LIB,element not found error.No modifications to commit.
IPC03087-FRA-PS-ID-LIB,element not found error.No modifications to commit.
IPC04758-SIN-PS-D-MPLS,element not found error.Commit success.
IPC04358-FRA-PS-D-MOP-OSLO,element not found error.Commit success.
IPC04358-BRU-PS-D-MOS,element not found error.Commit success.
IPC04624-FRA-PS-D-INT-LIB,element not found error.Commit success.
IPC04358-BRU-PS-D-MOP,element not found error.Commit success.
IPC01941W-BRU-PS-IS-LIB-2LAN,element not found error.No modifications to commit.
IPC04932-BRU-PS-M-EAN000181,Single MPLS site. No changes commited
IPC04358-XBT-PS-D-MOP-LYON,element not found error.Commit success.
TACIPC99-BRU-PS-M,Single MPLS site. No changes commited
IPC04694-FRA-PS-IS-LIB,element not found error.Commit success.
IPC03024-BRU-PS-IS-LIB,element not found error.No modifications to commit.
IPC04248-SIN-PS-ID-LIB,element not found error.No modifications to commit.
IPC04624-NYC-PS-D-MOP,element not found error.Commit success.
TACIPC99-BRU-PS-IS,element not found error.Commit success.
IPC04475-FRA-PS-ID-LIB,element not found error.Commit success.
IPC04489-MAD-PS-D-INT-LIB,element not found error.Commit success.
IPC04358-FRA-PS-D-MOS-VIE,element not found error.Commit success.
IPC04624-MAD-PS-ID,element not found error.Commit success.
IPC04248-NYC-PS-M,Single MPLS site. No changes commited
TACIPC99-BRU-PS-ID,element not found error.Commit success.
IPC041103199-BRU-PS-HS-LIB,element not found error.No modifications to commit.
IPC04624-FRA-PS-D-MPLS-LIB,element not found error.Commit success.
IPC03024-XBT-PS-HD-LIB,element not found error.No modifications to commit.
IPC04358-MAD-PS-M-BCN,Single MPLS site. No changes commited
IPC01945W-FRA-PS-IS,element not found error.No modifications to commit.
IPC04578-FRA-PS-HD-LIB,element not found error.Commit success.
IPC04578-FRA-PS-HS-LIB-M-FIBER-P5,element not found error.Commit success.
IPC04624-BRU-PS-IS,element not found error.Commit success.
IPC01945W-FRA-PS-ID,element not found error.No modifications to commit.
IPC01941W-BRU-PS-HS-LIB,element not found error.No modifications to commit.
IPC04248-SIN-PS-M,Single MPLS site. No changes commited
IPC04489-MAD-PS-D-MPLS-LIB,element not found error.Commit success.
IPC04514-FRA-PS-DHI-BER005236,Site type is empty
IPC01817-FRA-PS-HS-LIB,element not found error.No modifications to commit.
IPC04946-FRA-PS-D-MPLS,element not found error.Commit success.
IPC04472-FRA-PS-IS-LIB,element not found error.Commit success.
IPC04358-FRA-PS-D-MOS-STO,element not found error.Commit success.
IPC04624-MAD-PS-D-INT,element not found error.Commit success.
IPC04248-XBT-PS-HS-LIB,element not found error.No modifications to commit.
IPC04624-MAD-PS-D-MOS,element not found error.Commit success.
IPC04624-MAD-PS-D-MOP,element not found error.Commit success.
